,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
350,Mount Gambier,AU,-37.8333,140.7667,62.51,94,100,4.61,overcast clouds
351,Fenoarivo,MG,-18.933,47.4354,64.47,88,75,6.91,broken clouds
352,Carahue,CL,-38.7,-73.1667,48.07,98,7,1.86,clear sky
353,Alto Araguaia,BR,-17.3147,-53.2153,65.53,88,62,7.27,broken clouds
354,Povenets,RU,62.8487,34.8262,22.39,95,32,5.35,scattered clouds
355,Mairana,BO,-18.1167,-63.9333,53.29,83,85,2.19,overcast clouds
356,Raga,SS,8.4596,25.678,75.29,71,100,7.16,overcast clouds
357,Tomatlan,MX,19.9333,-105.25,71.28,76,100,3.2,overcast clouds
358,Nadadores,MX,27.05,-101.6,88.25,44,48,7.14,scattered clouds
359,Sungaipenuh,ID,-2.0833,101.3833,71.1,80,100,0.6,overcast clouds
360,Sorong,ID,-0.8833,131.25,85.55,69,99,8.41,overcast clouds
361,Aswan,EG,24.0934,32.907,74.5,13,0,6.91,clear sky
362,Bilma,NE,18.6853,12.9164,83.7,7,100,9.75,overcast clouds
363,Beloha,MG,-25.1667,45.05,74.89,73,65,4.29,broken clouds
364,Neepawa,CA,50.2289,-99.4664,25.2,83,100,11.27,overcast clouds
365,Chipinge,ZW,-20.1883,32.6236,63.43,93,76,3.15,broken clouds
366,Peniche,PT,39.3558,-9.3811,57.11,92,29,11.92,scattered clouds
367,Prince Rupert,CA,54.3161,-130.3201,48.29,34,0,13.8,clear sky
368,Kurmanayevka,RU,52.5093,52.0675,35.28,88,12,3.98,few clouds
369,Arlit,NE,18.7369,7.3853,80.58,11,27,11.54,scattered clouds
370,Yazd,IR,31.8972,54.3675,62.71,51,89,2.3,overcast clouds
371,Henties Bay,NA,-22.116,14.2845,58.71,87,0,6.98,clear sky
372,Constantine,DZ,36.365,6.6147,49.41,81,75,3.44,broken clouds
373,Aransas Pass,US,27.9095,-97.15,75.29,93,0,13.8,clear sky
374,Mana,GF,5.6592,-53.7767,77.41,88,99,8.84,overcast clouds
375,Azad Shahr,IR,34.7909,48.5707,39.69,81,40,4.61,scattered clouds
376,Hobyo,SO,5.3505,48.5268,81.34,76,98,9.26,overcast clouds
377,Georgetown,MY,5.4112,100.3354,84.13,88,20,3.44,thunderstorm
378,Tuy Hoa,VN,13.0833,109.3,81.43,80,73,4.47,broken clouds
379,Alekseyevka,RU,50.6309,38.6903,48.02,80,98,9.04,overcast clouds
380,Harrisonville,US,38.6533,-94.3488,55.78,53,96,15.05,overcast clouds
381,Mawlaik,MM,23.6333,94.4167,91.63,35,20,0.6,few clouds
382,Dingle,PH,10.9995,122.6711,84.36,70,14,4.32,few clouds
383,Vardo,NO,70.3705,31.1107,36.07,90,100,23.02,overcast clouds
384,Taoudenni,ML,22.6783,-3.9836,76.32,19,0,13.47,clear sky
385,Beatrice,US,40.2681,-96.747,47.17,42,0,9.22,clear sky
386,Luderitz,NA,-26.6481,15.1594,58.26,63,0,14.09,clear sky
387,Gornozavodsk,RU,58.3758,58.3211,34.11,99,100,5.37,light snow
388,Harper,LR,4.375,-7.7169,78.31,87,97,5.82,moderate rain
389,Jalu,LY,29.0331,21.5482,76.12,14,93,27.31,overcast clouds
390,Vicuna,CL,-30.0319,-70.7081,49.73,65,0,1.23,clear sky
391,Teknaf,BD,20.8624,92.3058,84.25,72,83,4.68,broken clouds
392,Launceston,AU,-41.45,147.1667,64.04,67,75,2.3,broken clouds
393,Yulara,AU,-25.2406,130.9889,89.44,20,15,12.66,few clouds
394,Oriximina,BR,-1.7656,-55.8661,75.16,93,100,2.33,overcast clouds
395,Faanui,PF,-16.4833,-151.75,82.44,68,2,14.54,clear sky
396,Nuuk,GL,64.1835,-51.7216,8.1,77,5,9.33,clear sky
397,Evensk,RU,61.95,159.2333,29.46,74,92,3.27,overcast clouds
398,Dryden,CA,49.7833,-92.7503,17.89,86,100,9.22,overcast clouds
399,Vilyuysk,RU,63.7553,121.6247,19.98,83,100,7.65,overcast clouds
400,Varnavino,RU,57.4035,45.0916,28.13,84,77,2.95,broken clouds
401,Keuruu,FI,62.2667,24.7,26.8,96,35,3.51,scattered clouds
402,Lingyuan,CN,41.24,119.4011,61.5,11,0,11.5,clear sky
403,Ambon,ID,-3.6954,128.1814,86.14,74,40,2.3,scattered clouds
404,Vestmannaeyjar,IS,63.4427,-20.2734,47.19,87,26,33.55,scattered clouds
405,Fiumicino,IT,41.7675,12.2291,59.63,93,55,2.3,broken clouds
406,Faya,SA,18.3851,42.4509,66.72,46,15,3.31,few clouds
407,Eisenberg,DE,50.9667,11.9,41.88,85,100,9.89,overcast clouds
408,San Cristobal,VE,7.7669,-72.225,73.58,85,100,2.68,overcast clouds
409,Piacabucu,BR,-10.4056,-36.4344,81.32,78,49,13.85,scattered clouds
410,Noumea,NC,-22.2763,166.4572,84.18,99,0,12.75,clear sky
411,Yurino,RU,56.2942,46.3039,29.88,83,94,3.15,overcast clouds
412,Burnie,AU,-41.0667,145.9167,59.32,93,99,9.31,overcast clouds
413,Mahebourg,MU,-20.4081,57.7,77.29,83,40,17.27,scattered clouds
414,Gofitskoye,RU,45.0792,43.0464,42.91,89,16,2.62,few clouds
415,Olinda,BR,-8.0089,-34.8553,83.93,74,40,6.91,scattered clouds
416,Zhangjiakou,CN,40.81,114.8794,51.75,11,0,4.81,clear sky
417,Ganta,LR,7.3022,-8.5308,70.97,99,100,1.59,overcast clouds
418,Bekessamson,HU,46.4167,20.6333,44.98,94,26,6.51,scattered clouds
419,Xichang,CN,27.8964,102.2634,55.29,77,100,3.2,overcast clouds
420,Cayenne,GF,4.9333,-52.3333,81.09,1,40,5.01,scattered clouds
421,Gushikawa,JP,26.3544,127.8686,72.99,59,20,14.97,few clouds
422,Facaeni,RO,44.5667,27.9,50.68,65,5,4.05,clear sky
423,Agadez,NE,19.75,10.25,77.0,12,1,2.19,clear sky
424,Meadow Lake,US,34.8014,-106.5436,73.67,9,100,8.46,overcast clouds
425,Port Macquarie,AU,-31.4333,152.9167,72.9,55,99,7.67,overcast clouds
426,Walvis Bay,NA,-22.9575,14.5053,57.09,82,0,5.75,clear sky
427,Lompoc,US,34.6391,-120.4579,64.02,88,100,13.8,mist
428,Ulladulla,AU,-35.35,150.4667,76.77,61,100,3.89,overcast clouds
429,Eustis,US,28.8528,-81.6853,74.91,85,20,6.91,few clouds
430,Kushva,RU,58.2906,59.7592,36.64,99,100,4.81,light rain
431,Aksarka,RU,66.5606,67.7975,14.02,93,82,5.68,broken clouds
432,Penzance,GB,50.1186,-5.5371,52.48,88,96,6.26,overcast clouds
433,Dothan,US,31.2232,-85.3905,68.2,51,0,0.0,clear sky
434,Punakha,BT,27.5837,89.8598,69.71,53,1,0.36,clear sky
435,Portland,US,45.5234,-122.6762,55.27,41,20,5.01,few clouds
436,Eunice,US,30.4944,-92.4176,75.94,89,2,12.37,light rain
437,Bandarbeyla,SO,9.4942,50.8122,82.49,70,90,7.29,overcast clouds
438,Perelyub,RU,51.8667,50.3667,38.43,79,20,3.89,few clouds
439,Kharp,RU,66.8014,65.8081,17.83,89,96,7.58,overcast clouds
440,Constitucion,CL,-35.3333,-72.4167,50.58,89,0,7.9,clear sky
441,Huilong,CN,31.8111,121.655,56.12,49,98,9.93,overcast clouds
442,Nizwa,OM,22.9333,57.5333,79.32,22,58,1.7,broken clouds
443,Safford,US,32.834,-109.7076,81.52,6,0,21.85,clear sky
444,Doha,QA,25.2867,51.5333,85.98,34,0,8.05,clear sky
445,Pangoa,PE,-12.1167,-73.0,65.32,97,41,2.26,scattered clouds
446,Catamarca,AR,-28.4696,-65.7852,59.25,69,13,11.45,few clouds
447,Marathon,US,44.9,-89.7668,31.53,58,100,14.97,overcast clouds
448,Kyshtovka,RU,56.555,76.6271,49.82,54,100,13.65,overcast clouds
449,Bayir,TR,37.2687,28.2167,46.92,41,99,1.83,overcast clouds
450,Mareeba,AU,-17.0,145.4333,80.47,61,100,6.96,overcast clouds
451,Acari,PE,-15.4311,-74.6158,68.88,83,100,4.81,overcast clouds
452,Tanout,NE,14.9709,8.8879,79.97,43,72,9.06,broken clouds
453,Alofi,NU,-19.0595,-169.9187,78.69,94,17,6.91,few clouds
454,Yeppoon,AU,-23.1333,150.7333,78.58,60,9,12.55,clear sky
455,Casimcea,RO,44.7333,28.3667,45.25,63,7,5.06,clear sky
456,Crotone,IT,39.0851,17.1178,61.2,56,100,3.42,overcast clouds
457,Lardos,GR,36.0942,28.0157,57.02,53,100,2.68,overcast clouds
458,Hilton Head Island,US,32.2163,-80.7526,67.98,70,0,8.05,clear sky
459,Sioux Lookout,CA,50.1001,-91.917,19.47,79,100,9.22,overcast clouds
460,Ossora,RU,59.2353,163.0719,30.65,64,77,4.5,broken clouds
