City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
108,Mount Isa,AU,89.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
110,Pangai,TO,78.91,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
111,Arraial Do Cabo,BR,72.41,clear sky,-22.9661,-42.0278,Pousada Porto Praia
112,Vila Vicosa,PT,53.67,overcast clouds,38.7777,-7.4179,Pousada Convento Vila Viçosa
113,Puerto Ayora,EC,75.85,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
114,Estelle,US,77.0,overcast clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
115,Geraldton,AU,70.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
116,Hithadhoo,MV,82.56,scattered clouds,-0.6,73.0833,Scoop Guest House
117,Sao Filipe,CV,70.27,clear sky,14.8961,-24.4956,Hotel Xaguate
118,Saldanha,ZA,53.65,clear sky,-33.0117,17.9442,Blue Bay Lodge
119,Ponta Do Sol,PT,65.71,overcast clouds,32.6667,-17.1,Hotel do Campo
120,Kuhdasht,IR,51.89,broken clouds,33.535,47.6061,فروشگاه زنبیل
121,Suleja,NG,76.19,overcast clouds,9.1758,7.1808,Capy Motel
123,Sao Desiderio,BR,73.96,overcast clouds,-12.3633,-44.9733,Pousada do Luizão
125,Katsuura,JP,53.62,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
126,Gat,IL,63.39,scattered clouds,31.61,34.7642,OlusHome
128,Zlobin,HR,52.9,clear sky,45.2924,14.6541,Hotel Bitoraj Fuzine
130,Humaita,BR,74.35,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
131,Inhambane,MZ,76.3,light rain,-23.865,35.3833,Oceano
132,Grand Gaube,MU,77.4,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
133,Bage,BR,55.18,clear sky,-31.3314,-54.1069,Hotel Obino - Bagé
134,Porto Novo,BJ,84.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
135,Rawson,AR,63.72,clear sky,-43.3002,-65.1023,Hosteria Sampedro
136,Lebu,CL,52.84,clear sky,-37.6167,-73.65,Hostal Las Lilas
137,Kupang,ID,86.32,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
138,Nouadhibou,MR,62.58,clear sky,20.931,-17.0347,El Medina
140,Beitbridge,ZW,72.12,moderate rain,-22.2167,30.0,Beitbridge Express Hotel
141,Alexandria,EG,58.96,clear sky,31.2156,29.9553,Royal Crown Hotel
143,Ginir,ET,58.41,light rain,7.1333,40.7,Sura Dare Village
148,Harrison,US,73.42,clear sky,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
149,Asilah,MA,60.76,clear sky,35.465,-6.0348,Hotel Zelis
150,Simao,CN,81.64,clear sky,22.7886,100.9748,Changyu Hotel
151,Mitu,CO,72.57,overcast clouds,1.1983,-70.1733,
153,Chapada Dos Guimaraes,BR,69.46,scattered clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
154,Te Anau,NZ,54.97,few clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
155,Alice Springs,AU,89.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
157,Buala,SB,84.38,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
